Day	Timeslot	Room	Workshop_or_Talk	Title	Description	Owner	Second_Speaker	language	first_time_speaker	Category	slide_url	image_filename
sunday	11:00-12:00	HS1	T	How I Built a RAG-Powered AI Assistant With Python	Most of my readers ask similar questions about data science careers, AI, and breaking into the industry without a CS degree, but the answers are usually buried across 50+ of my substack blog posts (https://aiweekender.substack.com). So I built a Python-based AI assistant (https://assistant.ds-claudia.com) that can answer their questions directly, using my past writing as the knowledge base.  In this talk, I’ll walk through how I used Supabase, OpenAI, and Streamlit to build a lightweight retrieval-augmented generation (RAG) system that: 1. Retrieves relevant posts,  2. Generates personalized responses, 3. Helps readers discover content they would have missed.   This talk is a practical, end-to-end walkthrough of building a RAG AI assistant on top of existing content. I’ll cover:  - Parsing real-world text from RSS feeds and HTML - Converting posts into embeddings for semantic search - Storing and querying embeddings with Supabase and pgvector - Generating personalized answers with OpenAI LLMs - Streaming responses in Streamlit, including source citations - Logging queries to understand reader needs and improve the system  Attendees will leave with a clear picture of how to build a RAG-based assistant for their own blogs, documentation, or newsletters. This is a practical, end-to-end look at turning messy real-world text into a useful assistant that people actually rely on, all without fine-tuning or heavy infrastructure.	Claudia Ng		English	Checked			Claudia_Ng
sunday	14:00-15:00	HS1	T	From Imports to Innovation: The Dynamics Behind Python’s Evolution	What can millions of real Python code snippets tell us about how the language evolves? And why do the patterns we observe in Python look uncannily similar to patterns found in patents and scientific research — systems that seem to have nothing to do with software?  This talk begins with a practical challenge: extracting structured signals from the chaotic world of Stack Overflow. We built a pipeline that scanned posts for Python code blocks, identified import statements, normalised package names, filtered noise, and reconstructed a time-ordered stream of collections, each composed of the packages used in that snippet. From this, we derived two simple indicators of innovation: •new packages appearing for the first time, and •new package pairs appearing together for the first time.  Once these signals are extracted, a surprisingly coherent picture emerges. The Python ecosystem introduces brand-new packages less and less frequently over time, yet continues to generate new combinations of packages at a remarkably steady pace. Developers reuse familiar tools, but they also explore the space of possible pairings with a precision that looks — statistically — almost mechanical.  To understand just how surprising this is, we compare Python’s behavior with two very different worlds. The first is the US patent system, where technology codes assigned to inventions can be analyzed the same way we analyze Python imports. A classic 2015 study by Youn et al. showed that while new technology codes appear at a slowing rate, pairs of codes accumulate almost linearly over two centuries of innovation. The second is a corpus of physics publications, which behaves in much the same way when one treats subject classification codes as ingredients.  Across all three domains — software, science, and invention — the same pattern holds. Distinct components grow sublinearly (Heaps’ law), while distinct combinations grow close to linearly. This parallel is not only unexpected; it suggests that these systems share a deeper underlying mechanism, bound not by specific domain-specific details but by the very foundational patterns of human innovation.  In the second half of the talk, we introduce the concept of "adjacent possible" and demonstrate its modelling via a simple stochastic model: a Pólya urn extended with the adjacent possible. The model assumes only two forces: reinforcement of frequently used components and occasional introduction of new ones. Despite its simplicity, it reproduces the empirical behavior of all three systems without requiring domain-specific rules. It shows how a stable exploration–exploitation balance can arise naturally, leading to predictable rates of combinatorial novelty even in rapidly changing ecosystems.  The framework offers a new way to think about the ecosystem: not as a chaotic swarm of libraries, but as an innovation system governed by universal constraints. It sheds light on why certain libraries become dominant, why the combination space grows the way it does, and how the community collectively expands the “adjacent possible” of the language.  Attendees of the talk will learn: •how to extract meaningful innovation signals from real Python code at scale, •how to measure novelty and combinatorial creativity in software ecosystems, •why Python’s long-term evolution aligns with empirical laws from patents and science, •and how simple generative models can help reason about complex developer behavior.  The talk connects engineering, data analysis, and innovation theory to reveal an unexpected insight: Python grows the way many creative systems grow — slowly at the edges, rapidly in combinations, and always under the quiet guidance of reinforcement and the adjacent possible.	Gábor Mészáros		English or German				Gábor_Mészáros
sunday	15:00-16:00	HS1	T	Feature Selection: What your model can't tell you	There are several algorithms for selecting features. However, they rely on the data and the correlations between features. Is there a place for the saying "correlation is not causation?"  This talk focuses on exactly that. Including what economists call "bad controls" can mask effects and create spurious correlations, ending in reduced model performance. Using an entertaining mix of anecdotes and simulated data, I explain how feature selection can benefit from the causal inference literature. The colorful cast of characters includes selection bias, confounders, and Simpson's Paradox.  While widely applicable, this talk is not overwhelmingly technical. The target audience is anyone who uses data, but the math involved is limited to linear regression. In fact, I hope that anyone, regardless of background, can enjoy the nuances of data interactions with me.	James Donahue		English				James_Donahue
sunday	16:00-17:00	HS1	T	Teaching Python (but also a lot more IT stuff) in a Script-Generated Lab in the Cloud	Providing students with the infrastructure for teaching IT related stuff like programming, operating systems, networks, etc. was always a challenge for teachers.  At the Unviversity of Applied Sciences Burgenland we do this with a self-designed system called "Vlizedlab", which allows to provide a virtual machine to every student that is defined by a script and has a desktop that the students can access via a web browser.  The script definition of the student machine is modular, such that we can compose custom-made machines for quite a lot of sorts of teaching.  And the web interface allows the teacher to view student machines at any time, to help along or find errors. Anyone having tought IT will know how important this "glimpse over the shoulder" is when teaching practical IT.  Still, such a lab can be generated by some script magic in about 20 minutes.  And clearly, "Vlizedlab" is open source software and does not rely on a particular cloud provider.  Vlizedlab was used for the first time for teaching in particular Python for beginners with different teachers and student groups in 2025. But it has been used for years for teaching various subjects including programming, algorithms, operating systems, basic networking, web development, databases and even blockchain, containers and orchestration.  In this talk we will present an insight on design goals and usage of the Vlizedlab from the point of view of an operator and of a teacher, we will report on particular experience with it when teaching Python (and other stuff), and will provide a life demo on how to generate a lab for a group of students with ease.	Robert Matzinger		English or German	Checked			Robert_Matzinger
sunday	17:00-18:00	HS1	T	lightning talks	each talk has a maximum lenght of 5 minutes. Register for a tak at the registration desk	various speakers		English				various_speakers
sunday	18:00-19:00	HS1	T	Calculating Industrial Revolution - Mechanical Calculators of the Past	Almost all the achievements of the Industrial Revolution — from the steam engine to the Ferris wheel, from the Semmering Railway to the Kaprun power plant, from the telegraph to the radio — were planned and created before the first pocket calculator.  But how were these designs and inventions calculated? How were complex calculations even carried out in practice before the first computer? From around 1900 through the 1970s, in addition to slide rules and calculating discs, a class of machines now almost forgotten was used for this purpose: mechanical calculating machines.  Initially a rare sensation in the mechanization of mathematics, these “brains of steel” were used by the thousands well into the 1960s. Traces of them can still be found in today’s computer science.  In this lecture, I will not only trace the history of the development of mechanical calculators, but I will also bring several well-preserved calculating machines from 1920 to 1960 to the lecture and demonstrate live how our grandparents’ generations used them to calculate the technical developments of the modern era.  After the presentation, you can try out some of the calculators for yourself.	Robert Matzinger		English				Robert_Matzinger
monday	09:00-10:00	HS1	T	The Flexible Robotics Stack: Simulating and Controlling Bots in Python	Have you ever considered giving your Python an extra claw? Python has become the glue of modern robotics, bridging the gap between high-level AI and physical movement.  In this talk, we will explore the stack for modern robotics. We’ll see how to build virtual worlds to train AI models and how those models transition to physical hardware. We will then see tools to control and monitor these robots to keep them on track. Then we’ll cover the basics of servo control, translating learned Python logic into making a robotic arm move.  Finally, we’ll look at soft robotics, using simulation libraries to simulate and control deformable, flexible machines.  Whether you're a hobbyist or an engineer, you'll walk away with a roadmap for building your own robots.	Jan Margeta		English				Jan_Margeta
monday	10:00-11:00	HS1	T	Building Deep Learning Systems with Python: For Problems in Health, Agriculture, and Climate	Deep learning is often introduced through idealized examples: clean datasets, powerful hardware, and benchmark driven results. In practice, most real world problems are messier, constrained, and driven by decisions rather than scores. This talk focuses on how to build deep learning systems with Python that work under conditions, using examples from health, agriculture, and climate data. The session presents a practical, system oriented approach to deep learning. Instead of focusing on complex architectures, it emphasizes how to frame problems correctly, work with imperfect data, build reliable baselines, and evaluate models in ways that support real world use.  1. From Problem to System (Why framing matters) Moving from “can we train a model?” to “what decision should this system support?” Defining success metrics based on context (e.g., sensitivity vs. accuracy) Why many deep learning projects fail before modeling even begins  2. Data Reality Check Working with limited, noisy, and imbalanced datasets Common data issues in health, agriculture, and environmental data Practical strategies for inspection, validation, and preprocessing using Python  3. Building the Baseline in Python Why simple models sometimes matter more than complex ones early on Establishing strong baselines before scaling complexity A reusable Python workflow: data loading, training loop, evaluation  4. Model Design Under Constraints Choosing architectures that match the problem and resources Training on CPUs or limited hardware When transfer learning helps and when it does not  5. Evaluation Beyond Accuracy Selecting metrics that reflect costs and risks Understanding failure modes through error analysis Using interpretability tools to inspect model behavior  6. Case Studies Across Domains Health: image based disease detection and triage support Agriculture: crop disease detection from visual data Climate: pattern detection in environmental and geospatial data What stayed the same across domains, and what changed  7. From Experiment to Deployment Thinking Reproducibility and documentation What makes a model usable outside a notebook Common pitfalls when moving toward real world use  8. Key Takeaways A practical framework for building deep learning systems with Python How to apply the same workflow across different domains How to think critically about data, models, and evaluation in real settings  This talk is aimed at developers and data practitioners who already know Python and basic machine learning concepts and want to move beyond demos toward building systems that actually support decisions.	Cherno Basiru Jallow		English	Checked			Cherno_Basiru_Jallow
monday	11:00-12:00	HS1	T	Debug smarter, not harder - all you need to know about debugging in Python	This talk tackles the common, yet ultimately limiting, practice of using print statements for debugging in Python. We will explore why relying on print statements often becomes inefficient and cumbersome as applications grow in complexity.   The presentation will guide attendees through a transition to professional-grade debugging tools, beginning with a detailed look at the built-in Python debugger, pdb, including essential commands and workflows.   Next, I will demystify the powerful debugging capabilities integrated into modern Integrated Development Environments (IDEs), specifically demonstrating debugpy and its seamless application within popular tools like VS Code and PyCharm.   Finally, the talk will introduce debug logging as a robust, scalable alternative to temporary print statements, covering best practices for when and how to implement a logging framework to manage application state effectively.   By contrasting these strategies, this session aims to empower developers to choose the right tool. Be it a dedicated debugger, an IDE feature, or a logging framework, for any challenge. Enabling smarter, faster, and more effective code remediation in their daily work.   Outline:  - Why not use “print”?  - Situation when you can use “print” to debug  - Situation when using “print” is not helpful - Debuggers used in Python  - pdb : why use pdb not “print”  - Debugging in IDEs  - Debugpy: what is it?  - Debugpy used in VS Code and PyCharm - Debug logging  - When should you use debug logging?  - Logging vs “print”  - How to manage debug logs? - Conclusion and summary  - Use the right tools and strategies for the situation  - Summarise the debugging strategies that have been introduced	Cheuk Ting Ho		English				Cheuk_Ting_Ho
monday	14:00-15:00	HS1	T	Hands-On: Building AI Applications in Python	AI features are becoming common in Python applications, but many developers struggle to move from demos to real, maintainable code.  In this hands-on workshop, participants will build a small AI-powered Python application step-by-step. The focus is on understanding how AI fits into a Python system: structuring inputs and outputs, integrating a language model, adding simple logic, and handling failure cases responsibly.  Rather than relying on heavy frameworks or hidden abstractions, the workshop uses clear, minimal Python code to demonstrate patterns that participants can reuse in their own projects. A modern language model (such as Gemini) is used as an example, but the concepts apply to any AI-backed Python application.  No prior AI or machine learning experience is required.	Robina Mirbahar		English	Checked			Robina_Mirbahar
monday	15:00-16:00	HS1	T	Agents — What Do They Do?	Agents — what do they do? No, really, what do they do? Your agent fails mid-tool-call, returns garbage, burns your token budget — and your APM dashboard says everything's fine. Our users kept hitting this wall, so at Sentry we decided to solve it. I'll walk through the engineering decisions behind Sentry's open-source Agent Monitoring: why we landed on three span types — intent, reasoning, action — and how they plug into your existing tracing stack. We'll dig into the surprisingly tricky parts (token cost tracking that goes literally negative if you get it wrong), conversation tracking across agent invocations, and what it takes to instrument a Python agent. You'll walk out knowing how agents break in prod and how to catch it.	Fabian Schindler		English				Fabian_Schindler
monday	16:00-17:00	HS1	T	lightning talks	each talk has a maximum lenght of 5 minutes. Register for a tak at the registration desk	various speakers		English				various_speakers
monday	17:00-18:00	HS1	T	conference closing		various speakers		English				
sunday	10:00-11:00	HS2	T	Stop Guessing: Finding and Fixing Python Performance Bottlenecks	Python applications often become slow for reasons that are not immediately obvious. Developers frequently rely on intuition or trial-and-error when optimizing performance, which can lead to wasted effort and ineffective solutions.  In this talk, we will explore a practical workflow for identifying and fixing real performance bottlenecks in Python services. Using a live demo of a deliberately inefficient recommendation API built with Python and FastAPI, we will investigate common performance problems such as inefficient algorithms, excessive database queries, blocking I/O, and missing caching strategies.  Through profiling tools such as cProfile and py-spy, we will identify the true bottlenecks and apply targeted optimizations including algorithm improvements, query batching, caching with Redis, and asynchronous concurrency.  By the end of the session, attendees will learn a systematic approach to diagnosing and improving the performance of Python applications, moving from guesswork to data-driven optimization.	Tabish Mazhari		English	Checked			Tabish_Mazhari
sunday	11:00-12:00	HS2	T	What Did My Agent Do? Observability and Accountability for AI Agents	Generative AI systems and AI agents behave very differently from traditional software. Their non-deterministic nature and ability to act across multiple steps make debugging and accountability harder, which increases the need for better observability. Beyond latency and error rates, teams need insight into prompts, responses, and agent actions to understand what an agent did and why.  In this session, I will show how to instrument AI agents using OpenTelemetry and the GenAI Semantic Conventions, with OpenLIT as the native SDK. Through a live demo, I will demonstrate how to capture agent interactions alongside performance telemetry using Prometheus and Jaeger, while keeping sensitive data separate to reduce risk and cost.  I will also show how telemetry can support ongoing evaluations, helping teams reason about agent behavior over time without logging everything. This talk is for engineers building AI agents who want to improve trust and accountability without oversharing data.	Ishan Jain		English				Ishan_Jain
sunday	14:00-15:00	HS2	T	Making sense of concurrency in Python 3.14	Async/await, threads, subinterpreters, and multiprocessing—Do you know when to use which?  Python 3.14 made subinterpreters available in the standard library and marked free-threaded Python as officially supported. This gives us a wider choice of concurrency mechanisms—but also more tradeoffs to consider.  This talk develops a mental model in which the differences between Python’s concurrency mechanisms become apparent. Attendees will learn how to reason about async/await, threads, subinterpreters, and multiprocessing. They will be able to assess which approach to pick for a given problem, and how to combine concurrency models effectively in Python applications.	Michael Seifert		English or German				Michael_Seifert
sunday	15:00-16:00	HS2	T	Schema-First AI: Type-Safe LLM Outputs with PydanticAI (Tested in CI, Offline with Ollama)	On Friday, your team ships an “LLM-powered” feature. On Monday, the dashboard looks… haunted.  One row says years_experience = “5–7”, another says “about five-ish”, a user’s email is “john at gmail dot com”, and your database is now storing what can only be described as creative writing. Nothing is “down” — but your data is drifting, your analytics are lying, and your code is becoming a scrapbook of quick fixes. If you store “5–7” in an integer column, your pipeline breaks—or worse, silently coerces and corrupts your metrics.  This is the quiet failure mode of AI features: LLMs return plausible text, not guaranteed data. And many projects accidentally return to the old “stringly-typed” era: prompt → paragraph → regex → json.loads() → try/except → more try/except. It works in demos… until real-world inputs arrive: ranges (“5–7”), multiple numbers (“worked on 3 projects in 2 teams”), mixed languages, inconsistent keys, wrong types, invalid formats, and outputs that change shape between runs.  Python teams spent years building trust through schemas, validation, and tests. We define request/response contracts for every API. We validate before writing to the database. We ship with test suites and Continuous Integration (CI). But when the LLM enters the stack, many teams throw that discipline away and “hope the output behaves.”  This talk brings it back with a practical approach: Schema-First AI — treat LLM output like an API response with a non-negotiable contract.  What you’ll see (and copy into your own projects)  We’ll build a workflow that turns messy text into reliable, typed objects:  Define the contract first using a Pydantic model (types + constraints)   Example: years_experience is an integer (0–50), email must be a valid email, skills must be a list, not prose.  Enforce structured output using PydanticAI   The model must return output that matches your schema. If it doesn’t, validation fails (and we handle it cleanly).  Validate before storage   Bad-but-plausible outputs get caught before they corrupt your database and metrics.  Test without calling the model (fast, $0, CI-friendly)   Unit-test business logic using typed Pydantic objects (no model calls), add contract tests for schema guarantees, and use   Hypothesis (property-based testing) to generate hundreds/thousands of edge cases in seconds.  Live demo  Unstructured output → typed result → validation catching errors → a test suite running in under a second → a small production-style pipeline + dashboard that makes the reliability visible.  The full demo runs offline using Ollama (no API keys), and the same architecture works with hosted providers too.  Why this is useful (beyond the demo)  You’ll reduce brittle parsing code dramatically You’ll prevent silent data corruption (often worse than a crash) You’ll get a repeatable pattern for extraction, classification, routing, and “AI-as-a-service” internal tools You’ll have a testing strategy that lets AI code ship with confidence Takeaways  A repeatable Schema-First blueprint for extraction/classification workflows A CI-ready testing strategy for AI features (including $0 model-call tests) Practical patterns for validation, retries, and schema evolution A reference repo + checklist you can apply to your next LLM feature Audience: Beginner → Intermediate Python developers. No AI background required.	Vyom Gupta		English	Checked			Vyom_Gupta
sunday	16:00-17:00	HS2	T	How to Automate Tests for LLMs That Never Answer the Same Way Twice	Large Language Models rarely give the same answer twice, even when the meaning is exactly the same. In our case, this became a real production problem: automated tests kept failing, not because the model was wrong, but because it expressed the same idea using different words, synonyms, or sentence structures. Traditional assertions are built for deterministic systems. LLMs are not. The session focuses on practical lessons learned from real-world usage, how to test LLMs that paraphrase by design, and how semantic evaluation can turn flaky tests into reliable signals.	Manuel Alejandro Ledezma Falcon		English				Manuel_Alejandro_Ledezma_Falcon
monday	09:00-10:00	HS2	T	Why would you "import duckdb" in your Python project?	DuckDB is an in-process database that can be imported as a library in all popular programming languages. Of course, that includes Python too – with about 3/4 of DuckDB's user base importing its Python client.  But why would you use a database inside your Python process? First, DuckDB brings all the benefits of databases, including persistent storage, query optimization, and transaction handling, all without the hassle of setting up a database server. Second, DuckDB's Python client can seamlessly interact with other libraries such as Pandas, Polars, NumPy, and notebooks. Its Arrow-based deep integrations and Pythonic API allow you to gradually include DuckDB in a Python project, ranging from eliminating performance choke points to performing your entire workload in DuckDB.  In this talk, I give a brief overview of DuckDB and demonstrate how you can use it to modernize your Python codebase.	Gabor Szarnyas		English				Gabor_Szarnyas
monday	10:00-11:00	HS2	T	Building a data lakehouse in the European cloud	It's 2026 and all of a sudden your regular solution to build a data pipeline in Azure or AWS seem to have gone out of favour pretty fast. We want to store our data outside of the reach of the next autocrat. But what are the alternatives? In this session we'll discuss how you can build a data lakehouse in the European cloud. And we want more: we want PySpark, notebooks and data visualization. Is that all possible?  For this data lakehouse solution we start with Kubernetes and object storage. You'll be surprised how many European cloud providers offer these products. Now we'll use Nessie as catalog and Trino as query engine. With Iceberg, our open table format, we can already create our first table.  Next we'll run Jupyter Hub for shared notebooks. And now we can cooperate on writing PySpark code.  Great, but can we still use (local) PowerBI for data visualisation?  Yes, but that actually turns out a bit harder and for some reason expensive. We'll look at the alternatives for that.  This presentation is also suitable for visitors who are not data engineers or who have little knowledge of Kubernetes.	Marcel-Jan Krijgsman		English				Marcel-Jan_Krijgsman
monday	11:00-12:00	HS2	T	Designing Python APIs for Data You Don’t Control	Python developers are used to working with APIs that have documentation, versioning, and some expectation of stability. Websites offer none of that, yet many Python systems depend on web data every day.  This talk reframes web scraping and extraction as an API design problem under extreme uncertainty. Instead of focusing on selectors or parsing techniques, we’ll focus on how to design Python-facing interfaces that can survive change.  We’ll explore topics such as optional fields, backward-compatible schema changes, defensive parsing, and meaningful error semantics. We’ll also discuss how breaking changes affect downstream users, especially when your data feeds analytics pipelines, dashboards, or automated systems.  By the end of the session, attendees will have a clearer mental model for treating web data as a volatile dependency, and practical strategies for designing Python APIs that protect users from inevitable change.	Saurav Jain		English		canceled		Saurav_Jain
monday	11:00-12:00	HS2	T	An Introduction to Regression Testing	Have you ever been unsure about touching a bit of code out of fear you might break something? Have you ever thought "Ah, maybe I should fix this... BUT" and refrained from following up on your instincts of improving the code base? In this talk, we we focus on tools and strategies to implement regression tests. Through regression tests, we want to ensure that previously developed (and tested?) code still performs as expected after a change. Agenda: 1. Conceptual overview and basics 2. A more realistic example 3. Selected strategies that I have kept reusing over the years 4. Costs vs. benefits 5. Q&A and discussion Familiarity with software testing in general and pytest in particular is assumed. Also, that you are interested in testing your code. ;) Looking forward to our exchange!	Claus Aichinger		English		empty		#REF!
